,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
spiders_v1.4_10yrs,0.9204,0.5862933188998515,1.0,0.5694410083345824,1.0,0.4723834824509622,0.7464,0.4753035604921973,0.9266,0.6352203597387072,1.0,0.6230757975483423,1.0,0.5260696232027638,0.7528,0.5010131132808598
third_obs_pt120v1.4_10yrs,0.912,0.5791420501291255,1.0,0.5742679706821039,,,0.7502,0.47824136985938115,0.919,0.6237966335198972,1.0,0.6206438729159328,,,0.7576,0.5014453448315115
third_obs_pt15v1.4_10yrs,0.923,0.5952040808988613,1.0,0.580666138986103,,,0.7488,0.4782543263813859,0.9272,0.637949478088887,1.0,0.6280488345811299,,,0.7564,0.5029869811146293
third_obs_pt30v1.4_10yrs,0.9214,0.5939597674111032,1.0,0.57984784065371,,,0.7494,0.4775678324030641,0.9274,0.638888674427906,1.0,0.6265706825264271,,,0.7558,0.5025160499930282
third_obs_pt45v1.4_10yrs,0.919,0.5907596145534472,1.0,0.5810768398598007,,,0.7484,0.47796972828261025,0.926,0.637375917578309,1.0,0.626235264777398,,,0.756,0.5027011014573853
third_obs_pt60v1.4_10yrs,0.9188,0.587007287841527,1.0,0.5779293675943579,,,0.7492,0.47964833396016393,0.9246,0.6349895249969257,1.0,0.625712276923687,,,0.7552,0.5034116473121556
third_obs_pt90v1.4_10yrs,0.9146,0.5834568020713456,1.0,0.5772179920559304,,,0.75,0.47982993938707574,0.9218,0.629399500029461,1.0,0.6249898386275143,,,0.756,0.5036757435572823
twi_filters_1_v1.4_10yrs,0.924,0.6015886240182051,1.0,0.5791191448081295,1.0,0.4824604702666785,0.7496,0.4783867071925192,0.9316,0.6406718517546589,1.0,0.6280163164274933,1.0,0.5313626430449441,0.7552,0.5009939595010695
twi_filters_2_v1.4_10yrs,0.9222,0.6054939384291613,1.0,0.584265061208639,1.0,0.48895807545038705,0.751,0.4820712578406017,0.9292,0.6456486851586517,1.0,0.6292680802643035,1.0,0.5343108143331874,0.7562,0.5055346775563916
twi_filters_3_v1.4_10yrs,0.9216,0.6019185058631594,1.0,0.5847670623869755,1.0,0.48829123770870164,0.75,0.48176496376559924,0.927,0.6441356557362682,1.0,0.6310444216675517,1.0,0.5370655383540065,0.7552,0.5055981437301147
